level_0,level_1,level_2,level_3,level_4,GCP_PROJECT_ID,FULL_PATH,FROM_MAPPING,INFRA_LABEL
Marketing,Ops,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-ops-4df8d1cc,folder_pl,
Marketing,Community,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-community-e24e58c1,folder_pl,
Marketing,Events,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-events-d03313c7,folder_pl,
Marketing,Campaigns,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-campaigns-eee625e4,folder_pl,
Marketing,Partner,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-partner-323dd8ac,folder_pl,
Marketing,Brand design,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/mktg-brand-design-1c49921e,folder_pl,
R&D,Engineering,Development,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-dev-bf8cea99,folder_pl,
R&D,Engineering,Incubation,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/incubation,folder_pl,
R&D,Engineering,Infra,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-infra-c2eec543,folder_pl,
R&D,Engineering,Infra,,,gitlab-ops,gitlab.com/Infrastructure,projects_pl,
R&D,Engineering,Quality,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-quality-fe5f8033,folder_pl,
R&D,Engineering,Security,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-security-d2ff51e2,folder_pl,
R&D,Engineering,Security,,,gitlab-security,gitlab.com/Security,folder_pl,
R&D,Engineering,Security,Security Operations,,,gitlab.com/Security Department/Security Operations%,folder_pl,
R&D,Engineering,Security,Security Engineering Research,,,gitlab.com/Security Department/Security Engineering Research%,folder_pl,
R&D,Engineering,Security,Threat Management,,,gitlab.com/Security Department/Threat Management%,folder_pl,
R&D,Engineering,Support,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-support-4e49c1d2,folder_pl,
R&D,Engineering,UX,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/ux,folder_pl,
R&D,Engineering,UX,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/eng-ux-d0c1da1a,folder_pl,
G&A,Accounting,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/Accounting,folder_pl,
G&A,Business-tech,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/ga-business-tech-5f451306,folder_pl,
G&A,Ceo,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/ga-ceo-944293c9,folder_pl,
G&A,Data,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/Data,folder_pl,
G&A,Ent-apps,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/ga-ent-apps-c7b6c45e,folder_pl,
G&A,Finance,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/Finance,folder_pl,
G&A,IT,,,,,gitlab.com/cloud-realms/sandbox-realm-639e27ff/ga-it-18380bc8,folder_pl,
